wallet,allocation
0x8e8954be3c8b724fcd532a0730fc9d5313bbd23a,top_holder
0xbaa5853d6d4da05e57a4aa108de55dbe5c769545,top_holder
0x07c2af75788814ba7e5225b2f5c951ed161cb589,top_holder
0xe51f06eb0fac25646f793e9c043245148ef36056,top_holder
0x1f0b28f7182e0a2be93507c2b83e0efa2c61dcfa,top_holder
0x8c0ff426dfa77a87be3729456d1d27fdc8f2de5f,top_holder
0xe052113bd7d7700d623414a0a4585bcae754e9d5,top_holder
0x9ad85d7c0f7eff3d0718c3a3a032557558f7048b,top_holder
0xd8b11e3093b6fc08b271d41e7f3dcaf02a66e6b7,top_holder
0x443fad4c2ea59e9d24c083be0841cee1fbf6a85e,top_holder
0x726cdc837384a7deb8bbea64beba2e7b4d7346c0,top_holder
0x083cf6d6fcf2e42b47976c236f3d0d6f15423019,top_holder
0x2f65b176b48c85c7a89ed509955817ee468fbff2,top_holder
0x79758a8326b2ee06c7baf0f075f461367a0b8e32,top_holder
0x7cbeab8adc6ce442b5640592134af57eef4bb5a5,top_holder
0x7ee84e6fa0d1199a6527f4de8f0e26b8bdd93ef3,top_holder
0x3460fb6fec6e51c4315e2e799b4f3e1810f75901,top_holder
0x8edbcff3e9cbba5b4e584a1fe9f8663ca9936d91,top_holder
0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,top_holder
0xc3023ff1771394c8a37f6d75fb0dc152112e74ab,top_holder
0x14ce500a86f1e3ace039571e657783e069643617,top_holder
0x4c1fbd894a1725e4397a7c3ed5be899f2ec5e9c2,top_holder
0x813c55c753d3108b9ea2bd0ea77b33e664506e3c,top_holder
0xa4407ecacc5f762eeee7eb7a425a8368fc68c0ce,top_holder
0x02332a565a2940a6483d7db9ec5a5e8226870c59,top_holder
0x6a42c6821013a7998cf42871a6efbd5d234b6d5b,top_holder
0x38b6b4387ff2776678e2b42f5eb2af4a452177d7,top_holder
0x4cc0b3e6f13a91b7c96a20d5b2451ee31d92e37d,top_holder
0x34383a9f83c86eceb3748fb89fd9be2805c8b02c,top_holder
0x2975083a05c8ab082e93c9d78fad9d8d8569bce2,top_holder
0x3e099af007cab8233d44782d8e6fe80fecdc321e,top_holder
0x60684bb466fdff1202ef427cda2a40e256b79d06,general_holder
0xd09b4f164958ab91aff5d0ea90f2ef311320e84a,general_holder
0x7c00c9f0e7aed440c0c730a9bd9ee4f49de20d5c,general_holder
0xa11cd9e04dc406d6b9ad0c14440afa5bb43d2136,general_holder
0xb69902082f133ac170504402fc018075b7e98885,general_holder
0x7696a27e0e266e5a5b62aa9521a7061484bc0452,general_holder
0xac832857ace7bbe40d94987c76f985f8d6fa0038,general_holder
0x2d60c8c081a7ebf0b5ff81e0c738be42ded63931,general_holder
0xe38dae19dc781201ee4b312e699cf9cfd31ba28a,general_holder
0x60805863de743939f7c2a9a261671643be66cb45,general_holder
0x514c9c0f1bc120f57183bfe4ae092ff0be13a31f,general_holder
0x8c646af13f0e5025ae520b8cab3c605ddd4f9f6b,general_holder
0xc6b2c9eef42e1d3855a2e139f55060f574ce359d,general_holder
0x105be89d26f718b27971d1f2f2a4f082752fed4e,general_holder
0xbdff1ba0b06c94f4b447bb4f8d717c2455ba83a7,general_holder
0xf47813a4595c86595311f3dc5bda053ff5b2e6da,general_holder
0x39e6e8f6938a819d52be235ff9dd5fdf0a8a422d,general_holder
0xa671b4566810f22cc67ff7c52e6f7c0959880af8,general_holder
0x6bdac4f8dfda978b26df826ae4ef57f6d3b4f6b7,general_holder
0x9d6d6c8f6c138a7c60df5e7aba5fc2d1557cb01c,general_holder
0x5fe497271cb5ddbea7ce9d3892b5f21a84f4eeef,general_holder
0x17410ac8e1e7c0296d3d1ee82c2bce9cf5250a5c,general_holder
0x62dd369d50d91f9b53acf356bd6b6432d48754bd,general_holder
0xbf3ecae667b59b070a4ab69585857af80eb64988,general_holder
0x3a465b0701e9f3b405af6c1f4ddfaf6a3471d87c,general_holder
0x232e02988970e8ab920c83964cc7922d9c282dca,quest
0xb95ba8d390d8907705022c37eb19981b7a213181,quest
0x524d7a3e4530b89a769a566101a9bcfbe1216f11,quest
0x95b9512fe2dd8ab89a9efae8afce2a8d27cf3382,quest
0x864d89b2d2486d40b702ea7e8bf15e79c38e622e,quest
0x1e927ca8376d51c163fff2038080484ece23212b,quest
0x0d21e320e93b88d79bb6b07945fd8960eb988e16,quest
0xfbf649bc04521cd7586ece3a6bb74073399b738b,quest
0xdd49e0f8e8a3cbd003bb9a84d9554938b2bd9a3c,quest
0x1d4c3b9f8f49d6ac44e398f766f520a3cdb0f3d5,quest
0x17d6c8f47293226462d930baa4f50db6760e5975,quest
0xaf644a33988967c4f309d23f4cbcdc47cab1531c,quest
0x91c242be080de00884cfd8190b1481050f8d7b65,quest
0xb6aa2932e1aa279f5da11c4450683bad037f2486,quest
0x2839ce5ad374f990a12f2aaba620e0d0c5bc1e0e,quest
0x1eb5f6d2388b2dee3505334e4aeb96728a757b2b,quest
0x0cf2c48372b483606f906e72dc0e210636e30c72,quest
0x74fb3bec1545e02fa63fd40561f7bc36e2c06134,quest
0xdce1386dbca787210684ddc09aef14a9c0b5abf7,quest
0x0161d1cc10116bb2a073a0c293d5e4f1a97a00b6,quest
0x84b3b018b4d47699cc5aa4af6e583af1a862c9a9,quest
0xd53a4188e0bda47f655c2aa45b509cf587f39e60,quest
0x99b3dcfe5b8f9930f49ab00d7b2557832db5c65b,quest
0x69d62b87d953009308ad4a1f538102e27ab78df5,quest
0x124aefa2fa991c62c3a137369fa8cd076de27b80,quest
0x9e7f94118cf3abe549915aeadca0449ce585e45b,quest
0xb4a9f08e1addaa8ce1837e3c73093d2970aae7ea,quest
0xc5f0d5be256c6ddbcedca77383c1a43eca0a16e1,quest
0xe25aac6ddca6b6fd804161d298c488dc864be0ab,quest
0x54267d6706f8830e0f47aa18c3598351317adcb5,quest
0x0bf5b319a6a683f1dd942edccac40ee51ed0f5aa,quest
0xed7498205d0a522528210f963f4bf8e5752df98f,quest
0x74307301ee4af8341457f353996f64df8a382362,quest
0xedce6a7105cb3d298e356b416cafd5cea4a433ff,quest
0xa83fa9c834bb5abe25f9c56eb5845b3203df94f2,quest
0x02e9b64ccca5c7324403cc0e4d3319361d3b965e,quest
0x2f4ffaa59984d1b72318019b882c181e8232e04b,quest
0x993e6f990c22dda322fd465223f90ef74a412d64,quest
0xa642f5a7dc8c01557a8f6974afa0d9964bf61550,quest
